"Local","Computadores por casa","Investimento","PIB per Capita","Exportação","acesso a internet"
"AUS 2005",70,15.337182,719149.954,1781,60
"AUS 2006",73,14.635374,774702.195,1788,64
"AUS 2007",75,14.21203,825575.898,1917,67
"AUS 2008",78,13.785639,852201.51,2071,72
"AUT 2006",67.0669,12.107165,310998.391,6710,52.2965
"AUT 2007",70.7432,12.287206,326699.296,7295,59.623
"CAN 2005",72,17.597812,1171340.162,13990,64.3
"CAN 2006",75.4,16.813136,1241194.165,14878,68.1
"CAN 2007",78.4,16.655466,1300942.608,15058,72.7
"CAN 2008",79.4,15.864026,1342396.613,14099,74.6
"CAN 2009",81.7,17.472226,1307953.077,10922,77.8
"CHE 2006",77.4,17.908158,347559.421,3015,70.49
"CHE 2007",79.2,17.731053,386208.981,3007,73.88
"CHE 2008",81.4,17.926379,413714.827,3327,77
"CHE 2009",82.5,18.789934,413468.607,2715,79.44
"CHE 2010",83.6,18.506691,429590.099,3194,80.74
"DEU 2006",76.8558,15.193548,2810242.832,82809,67.1077
"DEU 2007",78.6466,13.965183,2981616.28,77542,70.6745
"DEU 2008",81.8193,13.04645,3103958.247,73845,74.8754
"DEU 2009",84.0926,13.234983,3017520.905,54197,79.069
"DEU 2010",85.7406,12.690394,3187863.278,64134,82.4875
"DNK 2006",84.9749,24.506389,202725.721,4158,78.7298
"DNK 2007",82.9604,24.573655,212771.394,4742,78.0544
"ESP 2006",55.8676,12.720552,1362071.029,7347,38.0418
"ESP 2007",58.9493,13.132556,1466711.066,6683,43.4838
"ESP 2008",62.1818,13.638523,1528583.756,6810,49.856
"ESP 2009",65.1014,13.706933,1488992.726,4876,52.9288
"ESP 2010",67.4256,13.763415,1476808.758,5385,57.8236
"FIN 2006",71.1027,15.433109,181207.156,13242,64.7309
"FIN 2007",73.9631,14.279479,199873.495,13986,68.7837
"FIN 2008",75.7674,12.822967,212980.742,14409,72.3805
"FIN 2009",80.1388,14.42818,202878.3,6741,77.776
"FIN 2010",81.9856,15.519828,209096.826,4461,80.5376
"FRA 2007",65.5494,16.237113,2181667.496,26034,55.0468
"FRA 2008",68.3557,16.222845,2259255.844,25224,62.3197
"FRA 2009",74.2203,16.339623,2245566.431,19624,68.8683
"GBR 2006",71.4986,24.746025,2117406.787,84834,62.6411
"GBR 2007",75.3778,23.765698,2186268.32,29084,66.7177
"IRL 2006",58.5742,8.9848321,188778.262,24121,49.9535
"IRL 2007",65.4871,8.8717423,205504.05,22724,57.2732
"IRL 2008",70.3481,7.546465,198299.13,19939,63.0467
"IRL 2009",72.8382,11.297901,188225.344,12775,66.6699
"IRL 2010",76.464,12.412805,197163.475,8839,71.6895
"ITA 2006",51.5822,10.909417,1884457.559,11376,40.0125
"ITA 2007",53.3796,10.741382,1992732.867,11127,43.3831
"ITA 2008",55.9745,10.4188,2089717.307,10512,46.9302
"ITA 2009",61.2675,10.907896,2046377.425,8194,53.4823
"ITA 2010",64.8464,11.026056,2085694.44,9614,58.9711
"JPN 2005",80.5,14.307092,4110440.486,100814,57
"JPN 2006",80.8,13.453076,4297284.628,103139,60.5
"JPN 2007",85,13.399405,4479299.619,92333,62.1
"JPN 2008",85.9,13.532096,4517267.524,91197,63.9
"KOR 2005",78.88403753,12.235326,1213618.157,85314,92.73207761
"KOR 2006",79.59442265,12.373509,1301782.512,86167,93.99318525
"KOR 2007",80.4474333,12.140192,1414277.971,93798,94.13277834
"KOR 2008",80.92197818,11.718285,1468996.086,89435,94.27491965
"KOR 2009",81.42711245,11.358163,1456054.669,78497,95.90486133
"KOR 2010",81.842274,10.716026,1573257.913,98433,96.83910415
"NLD 2006",80.039,22.279512,669518.848,62306,80.2646
"NLD 2007",86.3036,19.548252,718924.413,67717,82.8876
"NZL 2006",72,22.311205,116100.638,374,65
"NZL 2009",80,21.619381,132091.564,348,75
"SWE 2006",82.4821,24.364856,342150.661,15115,77.3896
"SWE 2007",82.8719,23.037414,373749.881,14521,78.5499
"SWE 2008",87.0993,21.934836,388684.19,15815,84.441
"SWE 2009",87.5799,24.746259,374814.888,11769,85.9823
"USA 2010",74.87,32.137836,15048970,133920,71.06
